,cluster,Name
471,4,X33-JAGIROAD BRANCH
472,4,X28-NORTH LAKHIMPUR BRANCH
473,3,X06-SHILLONG SORTING OFFICE
474,4,X26-SIVASAGAR BRANCH
475,4,X02-SILCHAR SORTING OFFICE
476,3,X05-TEZPUR APEX
477,3,X17-TINSUKIA SORTING OFFICE
478,3,T42-BEGUSARAI SORTING OFFICE
479,3,T06-BHAGALPUR BRANCH
480,2,T09-BOKARO BRANCH
481,3,T38-CHAPRA SORTING OFFICE
482,3,T26-DARBHANGA SORTING OFFICE
483,2,T04-DHANBAD BRANCH
484,3,T86-DUMKA BRANCH
485,3,T07-GAYA BRANCH
486,3,T87-GODDA BRANCH
487,3,T39-GOPALGUNJ SORTING OFFICE
488,3,T34-HAZARIBAGH SUB BRANCH
489,2,T03-JAMSHEDPUR BRANCH
490,3,T16-KATIHAR SORTING OFFICE
491,4,T88-MOHANIA BRANCH
492,3,T36-MOTIHARI BRANCH
493,3,T18-JAMALPUR SUPER FRANCHISEE
494,2,T05-MUZAFFARPUR BRANCH
495,0,T01-PATNA APEX
496,0,T10-ZERO MILE BRANCH
497,1,T17-BIHAR T/S APEX
498,2,T32-EXHIBITION ROAD BRANCH
499,3,T13-PURNEA BRANCH
500,2,T02-RANCHI APEX
501,1,T14-RANCHI CITY BRANCH
502,1,T35-JHARKHAND T/S APEX
503,3,T15-SAHARSA SORTING OFFICE
504,3,T85-SAMASTIPUR SORTING OFFICE
505,3,T40-HAZIPUR SORTING OFFICE
